States;Municipalities;emi_2017;emi_2018;emi_agri_2017;emi_agri_2018;emi_luc_2017;emi_luc_2018;emi_energy_2017;emi_energy_2018;emi_wast_2017;emi_waste_2018;va_2017;imp_2017;pib_2017;pib_percapta_2017;va_2018;imp_2018;pib_2018;pib_percapta_2018
MA;Buriti;275455.4;212114.89;28318.02;28639.19;236151;169654;5320.45;7956.63;5665.93;5865.07;180367.89;7175.6;187543.48;6625.57;194971.32;7521.72;202493.04;7090.84
MA;Buriti Bravo;464893.89;323642.59;62027.03;58600;392465;254925;5638.48;5334.88;4763.37;4782.71;147474.1;6316.76;153790.86;6545.68;161733.43;7705.58;169439.01;7111.22
TO;Buriti do Tocantins;133111.77;141881.56;58024.54;64319.75;65060;67613;6003.57;5695.36;4023.66;4253.45;90324.62;4437.06;94761.68;8510.25;93315.61;4451.87;97767.48;8731.58
MA;Buritirana;376902.64;387137.13;121908.96;131840.69;248636;249835;2685.01;1779.4;3672.68;3682.04;86487.35;2930.19;89417.53;5890.48;96395.99;3048.79;99444.77;6460.39
TO;Cachoeirinha;277698.84;281357.23;45863.48;43839.96;36124;40509;157315.61;152112.38;38395.75;44895.88;24983.19;921.15;25904.34;11381.52;26257.4;955.88;27213.28;12009.39
MA;Campestre do Maranhão;290047.19;252390;130245.81;142072.76;112350;62015;42888.8;43314.56;4562.58;4987.67;165134.87;8512.19;173647.06;12212.33;157637.35;7750.72;165388.08;11570.45
TO;Campos Lindos;498999.6;490215.52;146345.69;173232.04;330761;297783;19832.7;16903.34;2060.21;2297.13;264321.93;26263.1;290585.03;29666.67;289287.69;17201.82;306489.51;30905.47
BA;Canápolis;264371.17;246428.94;194173.04;174123.76;50373;50026;11642.83;14192.1;8182.31;8087.08;62545.53;1834.81;64380.34;6342.27;63549.47;2170.65;65720.12;6762.02
MA;Cantanhede;174394.82;224529.95;23647.88;24190.13;141435;191871;3447.23;2461.31;5864.72;6007.5;114762.8;5303.71;120066.5;5518.02;118976.87;5482.5;124459.36;5690.35
MA;Capinzal do Norte;194514.27;184389.55;77676.93;66856.16;112133;112723;2150.55;2198.97;2553.79;2611.42;125628.59;5447.43;131076.02;12235.23;137996.63;5913.29;143909.92;13164.1
BA;Carinhanha;154221.75;155291.85;116102.39;116535.87;17518;17381;12728.52;13094.3;7872.84;8280.68;199816.78;9144.25;208961.03;6938.08;204627.29;9786.59;214413.88;7402.52
TO;Cariri do Tocantins;331771.9;358240.36;137843.71;138320.61;63239;75542;129168;142885.54;1521.19;1492.21;290957.65;54150.03;345107.68;80332.33;285557.86;63314.81;348872.68;80738.87
TO;Carmolândia;90668.5;89694.89;67011.66;66983.94;17327;19008;5480.01;2867.25;849.83;835.7;33848.81;1922.57;35771.38;14000.54;35332.3;1582.63;36914.93;14442.46
MA;Carolina;892450.67;1278968.15;226925.32;227404.08;641384;1029854;14631.02;11994.68;9510.34;9715.39;290836.33;17294.86;308131.18;12945.06;304356.95;18558.92;322915.87;13268.52
TO;Carrasco Bonito;119868.55;123857.09;41913.35;42946.41;75770;78927;571.58;394.66;1613.63;1589.02;36497.13;918.33;37415.45;9226.99;38944.2;890.62;39834.81;9813.95
TO;Caseara;363876.04;355851.99;129595.94;128368.07;193361;188116;39570.86;38045.84;1348.25;1322.07;127846.17;4834.95;132681.12;25200.59;150718.96;7974.83;158693.79;29970.5
BA;Catolândia;138182.97;133495.25;28379.4;24715.36;53089;51341;54527.65;55402.83;2186.92;2036.06;64571.59;10980.66;75552.25;20592.06;71096.67;14182.91;85279.58;23988.63
MA;Caxias;672185.08;658919.66;84731.27;97250.44;387553;354636;142841.95;147450.3;57058.86;59582.92;1538347.12;170600.08;1708947.2;10506.45;1636886.57;177209.57;1814096.14;11046.47
TO;Centenário;240302.89;334172.05;73655.41;70776.04;161084;258150;3514.33;3230.62;2049.15;2015.39;31986.74;1022.32;33009.06;11517.47;33210.57;1089.4;34299.96;11934.57
TO;Chapada da Natividade;234813.89;234329.05;81639.09;80015;148621;149617;3269.03;3419.48;1284.76;1277.57;64459.78;1834.27;66294.05;19706.91;61829.3;2350.61;64179.91;19250.12
TO;Chapada de Areia;132974.9;115046.25;66707.05;59749.72;65727;54760;-;-;540.86;536.54;25377.02;642.14;26019.16;18492.65;23289.2;625.67;23914.86;17069.85
MA;Chapadinha;302018.7;293196.81;40735.3;39628.24;199165;197060;43151.37;36729.65;18967.04;19778.92;603666.17;51981.77;655647.94;8303.02;653016.15;59054.78;712070.94;8997.04
MA;Cidelândia;605663.22;530254.51;184665.46;199487.35;380623;281636;36198.24;44956.66;4176.53;4174.5;121125.66;7065.59;128191.25;8817.06;121260.07;9159.24;130419.32;8922.44
BA;Cocos;396937.84;543893.14;108595.81;109487.59;274388;419028;8452.46;9936.82;5501.58;5440.72;267671.24;21824.13;289495.37;14847.44;291709.7;26189.28;317898.98;16958.23
MA;Codó;1358853.98;1616341.21;197045.05;212846.61;1078229;1317333;46389.85;47292.27;37190.07;38869.33;868659.26;85403.37;954062.63;7897.22;873568.97;89611.22;963180.19;7856.47
MA;Coelho Neto;241864.55;174159.02;41779.05;52263.36;169804;95923;17055.2;12575.18;13226.3;13397.48;317052.42;20768.99;337821.41;6928.82;346052.1;21447.48;367499.57;7462.53
MA;Colinas;710977.51;518819.51;160853.55;178470.33;505057;299247;32580.17;28274.83;12486.79;12827.34;303788.55;17793.61;321582.16;7925.62;358736.39;24808.12;383544.51;9345.17
TO;Colinas do Tocantins;467140.19;427936.23;244488.52;219929.37;56987;49463;148886.77;141272.09;16777.9;17271.77;615969.64;72242.4;688212.04;19754.07;646307.24;79836.98;726144.22;20752.91
TO;Colméia;368291.11;295839.71;200043.12;199258.58;156003;85239;7880.9;7010.15;4364.09;4331.97;135235.87;10031.22;145267.09;17275.19;134754.21;9951.59;144705.8;17497.68
PI;Colônia do Gurguéia;28944.88;22328.77;12927.83;12786.24;9252;2418;4763.45;5137.95;2001.59;1986.59;48607.85;3701.07;52308.92;8209.18;54640.25;4943.72;59583.97;9236.39
TO;Combinado;70745.84;68547.83;50068.17;50155.31;12699;11045;5706.9;4733.39;2271.77;2614.14;60624.28;5440.47;66064.75;13554.52;62013.09;5438.35;67451.44;13927.62
TO;Conceição do Tocantins;253767.21;191363.27;68877.84;66524.61;179417;119807;4190.95;3684.9;1281.42;1346.76;46549.84;3174.17;49724.01;11898.54;48432.46;3602.15;52034.61;12617.51
BA;Coribe;183817.74;178601.19;126596.1;124732.26;49305;44990;3890.21;4921.07;4026.43;3957.86;111515.15;5773.12;117288.27;7854.3;117006.45;8807.42;125813.87;8835.24
MA;Coroatá;728931.91;692803.77;76055.73;83159.03;617861;573976;14713.06;14851.15;20302.12;20817.6;375134.32;22603.95;397738.27;6175.77;430732.17;26611.48;457343.66;7031.3
PI;Corrente;252590.51;434249.6;106753.22;74340.25;116870;330868;20037.75;19786.7;8929.54;9254.65;348758.32;32305.23;381063.55;14541.64;407637.73;46246.62;453884.35;17079.37
BA;Correntina;1987582.43;1991731.82;342742.88;371215.01;1416640;1366565;218737.22;244717.75;9462.33;9234.07;1155790.21;109597.52;1265387.73;37930.15;1787855.84;156305.84;1944161.68;60601.65
BA;Cotegipe;504631.87;407772;164139.74;171359.03;330682;227414;5020.77;4548.73;4789.35;4450.24;122597.39;4400.46;126997.85;8810.73;121773.56;4969.05;126742.61;9186.91
TO;Couto Magalhães;303397.27;276998.62;133363.31;122803.45;120730;122646;47376.5;29634.56;1927.45;1914.62;87993.17;7831.13;95824.3;17331.22;109963.67;6396.66;116360.32;21018.84
TO;Cristalândia;507465.04;449264.46;190210.03;161304.89;301583;274447;12317.34;10263.94;3354.66;3248.63;100175.94;5963.09;106139.03;14393.68;103745.01;6184.25;109929.26;15058.8
PI;Cristalândia do Piauí;141806.11;148094.07;47246.77;40893.75;90562;103601;1810.2;1376.77;2187.13;2222.55;51773.09;1966.84;53739.93;6590.62;54642.18;2040.69;56682.87;6859.01
PI;Cristino Castro;74702.3;104785.98;17279.04;11054.51;44497;80549;9755.42;9757.42;3170.84;3425.05;91937.46;7107.31;99044.77;9660.08;93553.53;8377.42;101930.95;9800.11
BA;Cristópolis;135435.51;152578.87;54940.02;52720.92;52633;76432;23693.5;19223.87;4168.98;4202.07;101566.48;7954.94;109521.42;7604.07;103777.11;7762.48;111539.58;8040.63
TO;Crixás do Tocantins;196957.76;203651.11;96945.57;89570.27;94174;107892;5141.77;5487.69;696.42;701.15;39190.74;1894.73;41085.47;24054.72;41339.15;2200.23;43539.38;25491.44
PI;Curimatá;86741.62;64569.26;50300.51;48405.66;26121;7145;6910.26;5559.43;3409.85;3459.17;84982.09;3852.87;88834.96;7938.78;96451.36;5575.41;102026.77;8990.73
PI;Currais;230112.82;337381.02;50343.32;78000.62;177679;254880;389.14;2671.77;1701.36;1828.63;146162.31;10291.69;156454;32119.48;256684.29;15709;272393.29;55151.51
TO;Darcinópolis;301182.02;413848.31;68747.14;64347.29;194123;310464;36109.1;36711.53;2202.79;2325.5;126508.92;9237.23;135746.14;22669.7;174500.19;11627.58;186127.77;30928.51
MA;Davinópolis;205898.32;211456.12;126857.25;131161.06;71819;73944;3058.77;1858.94;4163.29;4492.12;489975.38;133884.76;623860.14;49281.94;383906.61;101806.49;485713.11;37649.26
TO;Dianópolis;414317.05;412835.43;101163.13;99296.25;258529;257783;45433.04;46207.73;9191.88;9548.45;283266.65;22704.77;305971.41;14075.42;321068.11;26612.58;347680.69;15912.16
TO;Divinópolis do Tocantins;497555.57;423349.54;242071.12;221694.51;239552;186140;13288.01;12909.8;2644.44;2605.23;113068.42;7189.43;120257.85;17509.88;115014.62;8045.94;123060.56;17949.32
TO;Dois Irmãos do Tocantins;908008.56;807614.67;322230.89;300531.55;579872;501485;3826.59;3791.03;2079.08;1807.09;98134.03;4250.27;102384.3;14052.2;98462.35;4034.23;102496.58;14213.92
MA;Dom Pedro;202195.74;185136.8;40707.5;43035.27;118693;106218;35025.48;28004.1;7769.76;7879.44;206795.76;16765.16;223560.92;9757.37;212867.55;16971.36;229838.91;9852.49
TO;Dueré;889861.85;852479.09;363787.29;339996.85;517047;502927;7179.93;7750.67;1847.63;1804.57;115185.94;4983;120168.94;25421.82;110746.44;4571.56;115318;24603.8
MA;Duque Bacelar;48686.85;57245.47;10966.81;10914.27;33050;41670;1892.57;1858.1;2777.48;2803.1;66085.55;2556.14;68641.69;6124.35;74495.55;2547.39;77042.93;6820.37
PI;Eliseu Martins;230992.56;28238.99;15854.82;13814.56;206668;6421;6415.12;5879.56;2054.62;2123.88;37850.11;2996.4;40846.51;8449.84;41243.89;3485.01;44728.9;9128.35
TO;Esperantina;256343.6;204157.62;96050.7;91627.86;124179;75138;24345.5;24733.21;11768.4;12658.55;397793.85;26273.84;424067.7;16595.53;431852.61;32543.52;464396.13;17683.71
MA;Esperantinópolis;155311.24;153393.02;39406.99;44927.29;104550;96017;6471.26;7170.88;4882.99;5277.85;118071.46;6036.75;124108.2;7452.6;133172.15;7334.25;140506.4;8084.84
MA;Estreito;699368.45;923233.48;233889.98;243324.75;402851;613612;48500.85;51279.88;14126.63;15016.85;761102.21;32858.16;793960.37;18854.44;940843.3;42224.28;983067.57;23771.43
TO;Fátima;137624.25;124012.49;81307.24;76924.06;27882;20414;22570.52;20869.83;5864.48;5804.6;228509.79;10728.22;239238.02;25051.79;224912.04;12818.37;237730.4;27209.1
BA;Feira da Mata;58408.82;62070.42;48342.43;51301.35;6126;6722;2000.38;2004.93;1940.01;2042.14;43906.15;1827.37;45733.52;7722.65;43631;1839.67;45470.67;8022.35
MA;Feira Nova do Maranhão;296522.62;379747.65;127605.04;130758.26;163699;243651;3457.43;3468.2;1761.15;1870.19;62717.68;2397.49;65115.17;7777.73;72655.26;3041.9;75697.17;8925.5
MA;Fernando Falcão;261211.22;253645.98;41774.72;44443.39;215417;205226;2403.73;2357.75;1615.76;1618.84;52960.73;1885.57;54846.29;5311.48;68683.41;1596.08;70279.49;6851.19
TO;Figueirópolis;323628.6;340275.79;198627.72;208294.61;94407;98654;28422.92;31221.38;2170.96;2105.8;143382.06;13873.97;157256.03;29382.67;156017.05;14291.19;170308.24;32230.93
TO;Filadélfia;469631.04;431182.34;229845.1;230573.21;224454;183961;7390.88;8140.88;7941.06;8507.25;209970.89;8551.61;218522.5;18045.55;212172.82;9228.11;221400.93;18805.18
MA;Formosa da Serra Negra;670045.37;724679.77;217417.17;239351.59;442541;475038;6085.55;6234.92;4001.65;4055.26;126306.6;5526.64;131833.25;6939.69;133809.58;6238.28;140047.85;7403.28
