States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture,LUC,Energy,Waste,group,group_name
PI,Curimatá,64569.26,48405.66,7145,5559.43,3459.17,102026.77,11347,0.7496703539733923,0.1106563711586597,0.0861002588538261,0.05357301601412189,4,G4
PI,Currais,337381.02,78000.62,254880,2671.77,1828.63,272393.29,4938,0.23119445189892424,0.7554663270625004,0.007919147318957065,0.005420073719618252,5,G5
TO,Darcinópolis,413848.31999999995,64347.29,310464,36711.53,2325.5,186127.77,6017,0.15548520288786,0.750187894927301,0.08870769367868886,0.005619208506150273,5,G5
MA,Davinópolis,211456.12,131161.06,73944,1858.94,4492.12,485713.11,12901,0.620275544637819,0.3496895715290719,0.008791138322220232,0.02124374551088897,2,G2
TO,Dianópolis,412835.43,99296.25,257783,46207.73,9548.45,347680.69,21849,0.24052259758809946,0.6244207286181809,0.11192772383901256,0.023128949954707136,1,G1
TO,Divinópolis do Tocantins,423349.54,221694.51,186140,12909.8,2605.23,123060.56,6856,0.5236677710810789,0.4396839547764715,0.030494423119014135,0.0061538510234356225,2,G2
TO,Dois Irmãos do Tocantins,807614.67,300531.55,501485,3791.03,1807.09,102496.58,7211,0.37212245042552283,0.6209458775680734,0.004694107401491357,0.0022375646049123893,1,G1
MA,Dom Pedro,185136.81,43035.27,106218,28004.1,7879.44,229838.91,23328,0.23245118029202294,0.5737270724282222,0.1512616534766911,0.042560093803063796,1,G1
TO,Dueré,852479.09,339996.85,502927,7750.67,1804.57,115318.0,4686,0.3988330669788041,0.5899581654255004,0.00909191801994815,0.0021168495757473652,1,G1
MA,Duque Bacelar,57245.47,10914.27,41670,1858.1,2803.1,77042.93,11296,0.19065735681792814,0.7279178597013877,0.03245846352558551,0.048966319955098626,5,G5
PI,Eliseu Martins,28239.0,13814.56,6421,5879.56,2123.88,44728.9,4899,0.48920145897517614,0.22738057296646483,0.20820708948617161,0.0752108785721874,6,G6
TO,Esperantina,204157.61999999997,91627.86,75138,24733.21,12658.55,464396.13,26261,0.44880940520368534,0.36803916503336986,0.1211476211370411,0.06200380862590386,2,G2
MA,Esperantinópolis,153393.02000000002,44927.29,96017,7170.88,5277.85,140506.4,17378,0.29289005458005846,0.6259541666237485,0.04674841136839212,0.03440736742780082,1,G1
MA,Estreito,923233.48,243324.75,613612,51279.88,15016.85,983067.57,41355,0.2635571123352242,0.6646336092577578,0.055543782922603716,0.016265495484414194,1,G1
TO,Fátima,124012.49,76924.06,20414,20869.83,5804.6,237730.4,8737,0.6202928430837893,0.16461245153613155,0.16828812968758228,0.04680657569249678,4,G4
BA,Feira da Mata,62070.42,51301.35,6722,2004.93,2042.14,45470.67,5667,0.8265023822941749,0.10829635114439375,0.03230089308240544,0.03290037347902592,4,G4
MA,Feira Nova do Maranhão,379747.65,130758.26,243651,3468.2,1870.19,75697.17,8481,0.3443293460802193,0.6416129237402786,0.009132907076580987,0.004924823102921111,1,G1
MA,Fernando Falcão,253645.98,44443.39,205226,2357.75,1618.84,70279.49,10257,0.1752181919066882,0.809104090669996,0.009295436103501423,0.006382281319814333,5,G5
TO,Figueirópolis,340275.79,208294.61,98654,31221.38,2105.8,170308.24,5284,0.6121346746414137,0.2899236528111506,0.09175316292704809,0.0061885096203876284,2,G2
TO,Filadélfia,431182.33999999997,230573.21,183961,8140.88,8507.25,221400.93,11773,0.5347464137793769,0.4266431691056735,0.018880365091019268,0.019730052023930297,2,G2
MA,Formosa da Serra Negra,724679.77,239351.59,475038,6234.92,4055.26,140047.85,18917,0.3302860103297764,0.6555143660212841,0.008603689875322448,0.005595933773617,1,G1
BA,Formosa do Rio Preto,1300880.0299999998,386492.66,818989,87860.38,7537.99,2695149.18,25310,0.29710092482548145,0.6295653566147834,0.0675391872992316,0.0057945312605037075,1,G1
TO,Formoso do Araguaia,1327504.99,654814.5,644039,20194.14,8457.35,349562.25,18481,0.4932670723896865,0.4851499654249887,0.01521210101063349,0.0063708611746913285,2,G2
TO,Fortaleza do Tabocão,348770.97,112367.29,64046,170948.9,1408.78,187372.01,2576,0.3221807422790951,0.1836334027456471,0.4901465853078311,0.004039269667426736,3,G3
MA,Fortaleza dos Nogueiras,435492.43000000005,162016.66,259451,10138.0,3886.77,158584.43,12615,0.37203094437255774,0.595764661167589,0.023279394316911544,0.008925000142941633,1,G1
MA,Fortuna,234110.25,74977.54,151514,3491.39,4127.32,108188.22,15536,0.32026594307596523,0.6471908000610823,0.01491344355917778,0.01762981330377461,1,G1
PI,Gilbués,167235.96,52012.57,106979,5287.31,2957.08,226349.11,10685,0.31101307398241385,0.639688975983395,0.03161586778345997,0.017682082250731243,1,G1
TO,Goianorte,334198.95999999996,203978.61,123959,3801.0,2460.35,75365.42,5115,0.610350822156957,0.37091378141930786,0.011373464477567496,0.007361931946167637,2,G2
TO,Goiatins,689879.93,144151.61,537700,4721.78,3306.54,161618.19,12942,0.20895173744219517,0.7794109911271081,0.006844350436459283,0.004792920994237359,5,G5
MA,Gonçalves Dias,471776.00999999995,72995.99,387881,6370.73,4528.29,120877.05,17923,0.154725947171413,0.8221719455383075,0.013503717579874399,0.009598389710405157,5,G5
MA,Governador Archer,199553.49000000002,62552.33,134065,138.79,2797.37,77731.45,10793,0.31346146840127925,0.6718248826417418,0.000695502744652574,0.014018146212326327,1,G1
