,States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture and Livestock,LUC,Energy,Waste,group
26,MA,Arame,1039423.75,283348.57,728941,17848.67,9285.5,233586.51,32636,0.2726015929499398,0.701293384916402,0.017171697298623393,0.008933315214319473,0
27,TO,Arapoema,600125.95,287281.12,305093,4300.78,3451.06,288624.46,6670,0.47870137926880185,0.5083816155592006,0.007166462306787433,0.005750559528379002,2
28,TO,Arraias,655074.0,385641.26,243057,22617.7,3758.04,185519.91,10600,0.5886987729630546,0.37103747057584335,0.034526938941249384,0.005736817519852719,2
29,TO,AugustinÃ³polis,256552.04,121215.93,115868,12897.65,6570.46,253786.07,18177,0.4724808658703318,0.45163546545956135,0.05027303622298228,0.025610632447124568,2
30,TO,Aurora do Tocantins,124787.38,92731.47,28596,1492.86,1967.05,42070.71,3730,0.7431157702004801,0.2291577882314702,0.011963228973955539,0.01576321259409405,3
31,PI,Avelino Lopes,42592.28,31072.2,2281,4581.86,4657.23,79068.61,11252,0.7295265714819681,0.053554306085515965,0.10757489385400358,0.10934446336284415,3
32,TO,AxixÃ¡ do Tocantins,92525.38,67784.99,14514,6586.71,3639.68,120576.53,9724,0.7326096904438545,0.15686506772520145,0.07118814318838787,0.03933709864255623,3
33,TO,BabaÃ§ulÃ¢ndia,231493.58,109224.02,117782,1809.53,2678.04,105415.16,10661,0.4718231062822563,0.508791647699258,0.007816761052293546,0.011568528163934395,2
34,MA,Bacabal,494153.25,205134.49,185761,65408.71,37849.05,1138527.68,104633,0.41512322341297964,0.3759177947327069,0.13236523285033538,0.07659374900397803,5
35,BA,BaianÃ³polis,840949.86,78770.39,752883,6033.23,3263.25,171337.97,13823,0.093668354971841,0.8952769193635397,0.0071743040661187574,0.003880433489815909,4
36,PI,Baixa Grande do Ribeiro,1089394.29,187763.52,734734,163499.93,3396.84,953257.51,11496,0.1723558877842108,0.6744426758469607,0.15008333667693446,0.003118099691893924,4
37,MA,Balsas,1737261.47,327591.79,1135186,238507.6,35976.08,3457728.27,93825,0.18856792466593988,0.6534341661304444,0.13728940871520048,0.020708500488415254,0
38,TO,Bandeirantes do Tocantins,324260.36,292527.36,28704,1441.43,1587.57,120313.0,3511,0.9021372825219832,0.08852145849711633,0.0044452858807656915,0.004895973100134719,3
39,MA,BarÃ£o de GrajaÃº,150298.62,32982.24,85740,26528.58,5047.81,207520.16,18714,0.21944472943264548,0.5704643196324757,0.17650581222901449,0.03358520524007473,0
40,MA,Barra do Corda,1595140.78,272482.87,1228381,67637.99,26638.92,723386.24,87793,0.17082057798058425,0.7700768580438399,0.04240252073550524,0.016700043240070635,4
41,TO,Barra do Ouro,235631.5,62754.42,170111,1582.27,1183.81,56131.44,4549,0.26632440908791905,0.7219365831817902,0.006715019002128324,0.005023988728162406,0
42,BA,Barreiras,1331598.43,301425.94,609964,347780.28,72428.2,4744485.92,153830,0.2263639947367616,0.45806902911413017,0.26117504509223555,0.054391923547101206,5
43,PI,Barreiras do PiauÃ­,39013.42,11320.6,26691,195.9,805.92,27411.94,3344,0.29017194596115903,0.6841491978913923,0.0050213490639887505,0.020657507083459998,0
44,MA,Barreirinhas,103401.38,22039.56,39699,25898.82,15763.99,485468.72,61828,0.21314570463179505,0.38393104618139523,0.2504688041881066,0.15245434828819499,5
45,TO,BarrolÃ¢ndia,220730.12,118553.26,69445,30379.41,2352.46,93732.05,5613,0.5370959794703143,0.31461496962897495,0.13763146597301718,0.010657630231886796,2
46,MA,BelÃ¡gua,9483.64,2728.46,4359,474.29,1921.89,46498.85,7408,0.28770176851926055,0.4596336427785112,0.050011388032443246,0.20265320066978504,0
47,MA,Benedito Leite,170356.43,27541.9,141075,246.69,1492.84,42865.15,5627,0.16167220691346962,0.8281166727901025,0.0014480815311755477,0.008763038765252359,4
48,MA,Bernardo do Mearim,101392.55,51403.29,46968,967.35,2053.92,49436.9,6011,0.5069730468362813,0.46322930037759186,0.00954064179271554,0.020257109619986873,2
49,TO,Bernardo SayÃ£o,252417.07,194507.68,53825,2169.45,1914.94,74747.08,4469,0.7705805316573875,0.21323835190702434,0.008594703995256739,0.007586412440331393,3
50,PI,BertolÃ­nia,51036.26,21180.66,26209,2274.04,1372.56,58725.66,5494,0.4150119934336881,0.5135368461560467,0.04455734021262529,0.026893820197639872,2
51,PI,Bom Jesus,1192038.04,387426.1,683016,105021.1,16574.83,908344.9,24960,0.3250115239610977,0.5729817145768268,0.0881021380827746,0.013904614990306855,0
52,BA,Bom Jesus da Lapa,204785.17,116684.55,18317,46790.87,22992.74,1010113.45,68609,0.5697900389954995,0.089444953460253,0.2284875901902467,0.11227736852233977,3
53,TO,Bom Jesus do Tocantins,1784560.84,555751.92,1212901,6154.48,9753.43,74015.73,4779,0.31142223203777125,0.6796635748210187,0.003448736440949808,0.0054654510966406725,0
54,MA,Bom Lugar,117501.52,90615.56,21608,2189.67,3088.29,89850.92,16148,0.7711862791221764,0.18389549343702105,0.01863524829295825,0.026282979147844214,3
55,TO,BrasilÃ¢ndia do Tocantins,224120.13,75336.9,133027,14748.01,1008.21,41055.33,2190,0.336145173572762,0.5935522168401384,0.06580404000301089,0.004498524965160426,0
56,TO,Brejinho de NazarÃ©,260915.4,128412.18,127207,3077.57,2218.65,193607.86,5474,0.49216021744979405,0.48754117234935157,0.011795279236104884,0.008503330964749494,2
57,MA,Brejo,143899.79,38621.81,82800,14776.24,7701.73,292085.64,36139,0.26839378987279966,0.575400422752528,0.10268423602286007,0.05352148185900757,0
58,BA,BrejolÃ¢ndia,332931.01,144611.09,182412,2918.73,2989.19,84905.18,10493,0.43435752650376425,0.5478972955988689,0.008766771229871318,0.008978406667495466,2
59,MA,Buriti,212114.89,28639.19,169654,7956.63,5865.07,202493.04,28556,0.1350173483813418,0.7998212666729808,0.0375109451297832,0.027650439815894108,4
60,MA,Buriti Bravo,323642.59,58600.0,254925,5334.88,4782.71,169439.01,23826,0.1810639322840668,0.7876744528586302,0.0164838626461369,0.014777752211166026,4
61,TO,Buriti do Tocantins,141881.56,64319.75,67613,5695.36,4253.45,97767.48,11196,0.453334104868878,0.47654536643098655,0.040141650542889436,0.029978878157246085,2
62,MA,Buritirana,387137.13,131840.69,249835,1779.4,3682.04,99444.77,15392,0.34055294567069816,0.6453398050453079,0.004596304157134192,0.009510945126859828,0
63,TO,Cachoeirinha,281357.23,43839.96,40509,152112.38,44895.88,27213.28,2266,0.15581600657640823,0.14397710696824817,0.5406378929732853,0.15956895794005366,1
64,MA,Campestre do MaranhÃ£o,252390.0,142072.76,62015,43314.56,4987.67,165388.08,14294,0.5629096239946115,0.2457110028131067,0.1716175759736915,0.019761757597369152,3
65,TO,Campos Lindos,490215.52,173232.04,297783,16903.34,2297.13,306489.51,9916,0.35337934629242257,0.6074532279190181,0.034481446038264967,0.004685959351103368,0
66,BA,CanÃ¡polis,246428.94,174123.76,50026,14192.1,8087.08,65720.12,9719,0.7065881142044437,0.203003754348008,0.057591044298612004,0.03281708714893632,3
67,MA,Cantanhede,224529.95,24190.13,191871,2461.31,6007.5,124459.36,21872,0.10773676295745846,0.8545452399557386,0.010962056509610409,0.02675589603970428,4
68,MA,Capinzal do Norte,184389.55,66856.16,112723,2198.97,2611.42,143909.92,10931,0.3625810681787553,0.6113307397300987,0.011925675831412354,0.014162516259733809,0
69,BA,Carinhanha,155291.85,116535.87,17381,13094.3,8280.68,214413.88,28964,0.7504313330029876,0.11192474041619055,0.08432058733281882,0.05332333924800303,3
70,TO,Cariri do Tocantins,358240.36,138320.61,75542,142885.54,1492.21,348872.68,4321,0.38611118523887145,0.2108695960443988,0.39885383098654775,0.004165387730182049,5
71,TO,CarmolÃ¢ndia,89694.89,66983.94,19008,2867.25,835.7,36914.93,2556,0.7467977272729807,0.2119184270140696,0.0319667040117893,0.009317141701160457,3
72,MA,Carolina,1278968.15,227404.08,1029854,11994.68,9715.39,322915.87,24336,0.17780277014716903,0.805222553822001,0.009378403989184563,0.007596272041645447,4
73,TO,Carrasco Bonito,123857.09,42946.41,78927,394.66,1589.02,39834.81,4058,0.34674163586436596,0.6372424864817994,0.0031864142779391962,0.012829463375895559,0
74,TO,Caseara,355851.99,128368.07,188116,38045.84,1322.07,158693.79,5294,0.3607344446774065,0.5286355150072366,0.10691478780264795,0.0037152244111379002,0
75,BA,CatolÃ¢ndia,133495.25,24715.36,51341,55402.83,2036.06,85279.58,3555,0.18514037016298332,0.38459046295654714,0.41501723844106814,0.015251928439401402,5
76,MA,Caxias,658919.66,97250.44,354636,147450.3,59582.92,1814096.14,164224,0.14759073966619846,0.5382082544023652,0.22377583937926512,0.09042516655217116,5
77,TO,CentenÃ¡rio,334172.05,70776.04,258150,3230.62,2015.39,34299.96,2874,0.211795211478638,0.7725062583779823,0.009667535031729914,0.006030995111649823,4
78,TO,Chapada da Natividade,234329.05,80015.0,149617,3419.48,1277.57,64179.91,3334,0.34146427854335604,0.6384910449643354,0.014592642269492409,0.005452034222816164,0
80,MA,Chapadinha,293196.81,39628.24,197060,36729.65,19778.92,712070.94,79145,0.13515917857360044,0.6721082674808092,0.12527302053525072,0.06745953341033963,4
81,MA,CidelÃ¢ndia,530254.51,199487.35,281636,44956.66,4174.5,130419.32,14617,0.3762105672613704,0.5311336248700648,0.08478317327277424,0.007872634595790613,0
82,BA,Cocos,543893.14,109487.59,419028,9936.82,5440.72,317898.98,18746,0.20130349502109918,0.7704233960369494,0.018269802042364423,0.010003288513622364,4
83,MA,CodÃ³,1616341.21,212846.61,1317333,47292.27,38869.33,963180.19,122597,0.13168420670286565,0.8150092269193582,0.02925884071222808,0.024047725665548057,4
84,MA,Coelho Neto,174159.02,52263.36,95923,12575.18,13397.48,367499.57,49245,0.30008988337210446,0.5507782485225284,0.07220516054810139,0.07692670755726577,0
85,MA,Colinas,518819.51,178470.33,299247,28274.83,12827.34,383544.51,41042,0.3439930969442533,0.576784400417016,0.05449839386340734,0.024724089500797686,0
86,TO,Colinas do Tocantins,427936.23,219929.37,49463,141272.09,17271.77,726144.22,34989,0.5139302414287288,0.1155849786310451,0.33012416359325314,0.04036061634697301,5
87,TO,ColmÃ©ia,295839.71,199258.58,85239,7010.15,4331.97,144705.8,8269,0.6735356115647895,0.288125620458457,0.023695770929467175,0.014642963245197881,3
88,PI,ColÃ´nia do GurguÃ©ia,22328.77,12786.24,2418,5137.95,1986.59,59583.97,6451,0.5726352145684692,0.10829078359443892,0.23010447955709157,0.08896997013270323,3
89,TO,Combinado,68547.83,50155.31,11045,4733.39,2614.14,67451.44,4842,0.7316834099635247,0.16112836832325692,0.06905236825148221,0.038135999345274674,3
90,TO,ConceiÃ§Ã£o do Tocantins,191363.27,66524.61,119807,3684.9,1346.76,52034.61,4123,0.3476352071115842,0.6260710323355156,0.019256046366682593,0.007037714186217658,0
91,BA,Coribe,178601.19,124732.26,44990,4921.07,3957.86,125813.87,14240,0.6983842604856104,0.25190201700223835,0.027553399840169038,0.0221603226719822,3
92,MA,CoroatÃ¡,692803.77,83159.03,573976,14851.15,20817.6,457343.66,65043,0.12003258873721198,0.8284827895783534,0.021436300786873603,0.030048335331662526,4
93,PI,Corrente,434249.6,74340.25,330868,19786.7,9254.65,453884.35,26575,0.1711924432400168,0.7619304657966295,0.04556526937503225,0.021311821588321556,4
94,BA,Correntina,1991731.82,371215.01,1366565,244717.75,9234.07,1944161.68,32081,0.18637800846099853,0.6861189776041234,0.12286681748148201,0.004636201474152278,4
95,BA,Cotegipe,407772.0,171359.03,227414,4548.73,4450.24,126742.61,13795,0.4202324583345595,0.557698910175294,0.011155081761376454,0.010913549728769999,0
96,TO,Couto MagalhÃ£es,276998.62,122803.45,122646,29634.56,1914.62,116360.32,5536,0.44333596318999713,0.44276754880583885,0.1069845041105259,0.0069120199949010575,2
97,TO,CristalÃ¢ndia,449264.46,161304.89,274447,10263.94,3248.63,109929.26,7300,0.35904217751833745,0.6108807271334127,0.022846098264705825,0.007230997083544067,0
98,PI,CristalÃ¢ndia do PiauÃ­,148094.07,40893.75,103601,1376.77,2222.55,56682.87,8264,0.2761336088609085,0.6995621094078919,0.009296591011375404,0.01500769071982423,0
